courseLink,courseName,courseSubject,coursePrice,courseProvider,Purchase,Enquiry
https://www.reed.co.uk/courses/microsoft-excel-2010-beginners/231363#/courses/writing?pageno=168,Microsoft Excel 2010 Beginners,Office skills_Microsoft Office_Microsoft Excel,29,1 Training,4,0
https://www.reed.co.uk/courses/supervising-others-train-the-trainer-course-training-materials--trainer-resources/229854#/courses/writing?pageno=149,Supervising Others -  Train the Trainer Course &amp; Training Materials + Trainer Resources,"Admin, secretarial &amp; PA_Administration",350,LearnPac Systems,0,0
https://www.reed.co.uk/courses/public-speaking-online-training-course/245205#/courses/writing?pageno=154,  Public Speaking Online Training Course ,Personal development_Public Speaking,10,EduCBA,0,0
https://www.reed.co.uk/courses/beauty-therapy-and-start-your-own-business-level-3/68536#/courses/writing?pageno=88,Beauty Therapy and Start Your Own Business Level 3,Fashion &amp; Beauty_Beauty,375,Online Learning College,1,0
https://www.reed.co.uk/courses/managing-improving-customer-service-process-certificate-cpd-approved/193150#/courses/writing?pageno=169,Managing &amp; Improving Customer Service Process Certificate  - CPD Approved,Business_Customer service,15,Be-a.co.uk,25,0
https://www.reed.co.uk/courses/oracle-r12-accounts-receivable-in-house-training/238554#/courses/writing?pageno=126,Oracle R12 Accounts Receivable - In-house Training,IT_Database,,StayAhead Training,0,0
https://www.reed.co.uk/courses/art-drawing-and-painting-diploma-cpd-accredited/234923#/courses/writing?pageno=43,"Art, Drawing and Painting Diploma - CPD Accredited",Art,15,One Education,91,0
https://www.reed.co.uk/courses/unity-game-2-breakout-unity3d-training/237496#/courses/writing?pageno=39,Unity Game #2 - BreakOut - Unity3D Training,IT_Development_Game development,10,EduCBA,0,0
https://www.reed.co.uk/courses/branding-creating-and-managing-your-corporate-brand/265987#/courses/writing?pageno=105,Branding Creating and Managing Your Corporate Brand,Personal development,100,Active Recruitment Ltd,0,0
https://www.reed.co.uk/courses/ilm-level-3-award-in-leadership-management-dubai-4200/212149#/courses/writing?pageno=156,ILM Level 3 Award in Leadership &amp; Management - Dubai - $4200,Management_Leadership &amp; management,4200,Results Driven Group,0,0
https://www.reed.co.uk/courses/writing-a-business-plan-level-2-course/193020#/courses/writing?pageno=10,Writing a Business Plan Level 2 Course,Business,30,Staff Training Solutions,15,0
https://www.reed.co.uk/courses/prince2-and-pmf-project-manager-training-package-includes-access-to-our-pm-library/219585#/courses/writing?pageno=136,PRINCE2 and PMF Project Manager Training Package (Includes access to Our PM Library),Project management,,ITonlinelearning,0,13
https://www.reed.co.uk/courses/javascript-1/238564#/courses/writing?pageno=130,JavaScript 1,IT_Coding_JavaScript,1554,StayAhead Training,0,2
https://www.reed.co.uk/courses/professional-development/266774#/courses/writing?pageno=181,Professional Development,Job search skills_Career development,15,Inspire London College Ltd,0,0
https://www.reed.co.uk/courses/advanced-writing-skills/97585#/courses/writing?pageno=5,Advanced Writing Skills,Management_Business management,29,Churchill Square Training and Development,4,0
https://www.reed.co.uk/courses/public-relations-media-relations/204918#/courses/writing?pageno=61,Public Relations Media Relations,Business_Public administration,10,CPD Courses,5,0
https://www.reed.co.uk/courses/goal-setting-trello-to-do-lists-and-excel-decision-analysis/260239#/courses/writing?pageno=140,"Goal Setting, Trello To Do Lists and Excel Decision Analysis",Personal development_Life coaching,10,Simpliv LLC,0,0
https://www.reed.co.uk/courses/level-3-diploma-in-digital-photography/222138#/courses/writing?pageno=75,Level 3 Diploma in Digital Photography,IT_Web design,29,Infinity Learning,3,0
https://www.reed.co.uk/courses/powerpoint-and-camtasia-produce-video-presentations/190088#/courses/writing?pageno=130,PowerPoint and Camtasia: Produce Video Presentations,Office skills_Microsoft Office_Microsoft PowerPoint,157,Skill Success,0,0
https://www.reed.co.uk/courses/english-skills-for-teaching-assistants-course-accredited-course-and-certificate/238218#/courses/writing?pageno=82,English Skills for Teaching Assistants Course - Accredited Course and Certificate,English,19,Oplex Careers,14,0
https://www.reed.co.uk/courses/django-javascript-integration-ajax-and-jquery/198920#/courses/writing?pageno=131,Django JavaScript Integration: AJAX and jQuery,IT_Coding_JavaScript,20.38,Packt Publishing,1,0
https://www.reed.co.uk/courses/comprehensive-c-online-training/237685#/courses/writing?pageno=39,Comprehensive C++ Online Training,IT,99,EduCBA,0,0
